Country Name,ISO_A3,ESS Index,1. Risk,2. Labor,3. Resources,4. Health,5. Land,6. Biodiversity,7. Inclusion,8. Heritage,9. Climate,10. Engagement
Liberia,LBR,6.83,5.5,6.8,6.1,6.8,7.3,7.7,6.5,8.8,6.4,6.4
Libya,LBY,8.04,9.5,8.7,9.7,5.6,6.9,8,7.3,8.7,8,8
St. Lucia,LCA,4.76,4.5,3,2.5,4.8,5.5,6.7,4.9,7.7,4,4
Liechtenstein,LIE,4.29,2.1,2.9,,3.9,4.1,7.7,4.1,8.8,2.5,2.5
Sri Lanka,LKA,6.18,6.2,5.1,6,5.6,5.7,7.1,6.2,8.1,5.9,5.9
Lesotho,LSO,6.23,6,6,7.2,5.4,8.4,6.2,6,6.7,5.2,5.2
Lithuania,LTU,2.94,2.8,2.5,3.3,3.4,3.4,2.7,2.7,3.8,2.4,2.4
Luxembourg,LUX,3.84,1.9,2.2,4.4,3.7,2.3,4.1,2.5,2.7,7.3,7.3
Latvia,LVA,2.88,2.8,2.6,3.3,3.1,3.3,3.1,2.7,2.9,2.5,2.5
"Macao SAR, China",MAC,3.64,2.7,5.2,,3.5,3.4,3.4,,,,
St. Martin (French part),MAF,5.73,7.1,,,3.5,6.6,,,,,
Morocco,MAR,5.92,5.3,5.7,6.2,5.2,5.1,5.1,6.3,7.3,6.5,6.5
Monaco,MCO,3.69,2.1,1.9,,8.7,1.8,6.8,4.1,2.8,2.5,2.5
Moldova,MDA,4.98,4.8,5.7,5.7,4.2,6.9,3.3,4.5,4.9,4.9,4.9
Madagascar,MDG,6.71,5.6,7.1,6.7,5.6,7.8,7.4,6.1,7.8,6.5,6.5
Maldives,MDV,6.02,5.4,5.8,4.6,3.9,6,7,5.7,7.2,7.3,7.3
Mexico,MEX,6.50,7.3,6.1,6.7,5,5.7,6.3,7.8,2.9,8.6,8.6
Marshall Islands,MHL,5.92,2.1,4.7,9.5,5.2,6.5,6.6,7.9,8.1,4.3,4.3
North Macedonia,MKD,4.08,3.8,4,6.1,4.5,4,4.3,3.8,2.3,4,4
Mali,MLI,7.18,8.8,7.5,7.6,7.1,6.9,6.6,7.5,6.2,6.8,6.8
